month	weighted_sum	weighted_log_sum	stub_n	start_n	c_n	b_n	ga_n	fa_n	n
b'20010201000000'	18.784	-10.725210659544247	22	0	0	3	0	0	25
b'20010301000000'	98.136	-86.26654600794465	140	3	0	10	0	0	153
b'20010401000000'	333.818	-361.83245153007425	512	36	0	18	0	0	566
b'20010501000000'	695.569	-653.6165344631553	1011	80	0	28	0	0	1119
b'20010601000000'	1378.336	-1419.695401159558	2124	148	0	35	0	0	2307
b'20010701000000'	1633.308	-1629.5907476680602	2463	186	0	44	0	0	2693
b'20010801000000'	2162.225	-2107.7443615282364	3197	268	0	58	0	0	3523
b'20010901000000'	3223.618	-2878.9950245251334	4480	459	0	112	0	0	5051
b'20011001000000'	5065.743	-4194.053524748713	6680	811	0	194	0	0	7685
b'20011101000000'	8321.295	-5727.541728911708	10125	1363	1	311	0	0	11800
b'20011201000000'	10674.764	-6673.267706008297	12167	1950	2	472	0	0	14591
b'20020101000000'	12134.423	-7401.362486358683	13541	2311	2	571	0	0	16425
b'20020201000000'	13338.338	-7972.185873789498	14703	2565	2	657	0	0	17927
b'20020301000000'	18762.578	-11262.544863675506	20928	3323	1	979	0	0	25231
b'20020401000000'	20804.528	-12176.401167963211	22893	3729	1	1101	0	0	27724
b'20020501000000'	22346.476	-12835.503398348837	24238	4092	1	1238	0	0	29569
b'20020601000000'	23811.777	-13496.093004024247	25487	4494	1	1348	0	0	31330
b'20020701000000'	26123.529	-14521.584592391468	27485	5114	1	1511	0	0	34111
b'20020801000000'	28285.183	-15735.19852527381	29659	5592	1	1658	0	0	36910
b'20020901000000'	32010.086	-17541.276307667755	33083	6559	1	1901	0	0	41544
b'20021001000000'	39940.086	-20475.03758542668	38526	10057	1	2263	0	0	50847
b'20021101000000'	70362.817	-29595.021267768032	43507	42132	2	2568	0	0	88209
b'20021201000000'	74868.824	-31335.07899471828	46817	43798	4	2877	0	0	93496
b'20030101000000'	79489.515	-31754.2879567932	48981	45701	3	3165	0	0	97850
b'20030201000000'	84774.917	-33582.91957550279	52870	47326	3	3603	0	1	103803
b'20030301000000'	89434.637	-34801.03116921837	55884	48821	3	4041	0	1	108750
b'20030401000000'	94495.89	-36022.0926826117	58847	50787	8	4448	0	1	114091
b'20030501000000'	99663.861	-37392.257113602274	62098	52542	10	4942	0	1	119593
b'20030601000000'	105986.578	-38983.576335244696	65949	54740	39	5539	0	1	126268
b'20030701000000'	112286.798	-40014.684407644374	69677	56734	37	6015	0	1	132464
b'20030801000000'	120699.377	-41260.87976492437	73901	60114	37	6635	0	1	140688
b'20030901000000'	128275.136	-42970.2010574046	78323	62591	41	7438	0	1	148394
b'20031001000000'	135778.241	-45834.47690971299	83708	64875	41	8187	0	0	156811
b'20031101000000'	142775.683	-47451.56978567848	87965	67034	43	8931	0	0	163973
b'20031201000000'	151362.63	-49808.52794364358	93449	69620	43	9919	0	0	173031
b'20040101000000'	159938.434	-58162.83246191388	100571	72590	48	10836	0	3	184048
b'20040201000000'	168816.783	-67489.17430569172	107370	75801	55	11879	0	4	195109
b'20040301000000'	178635.129	-85194.33501248488	117819	79394	63	13014	0	10	210300
b'20040401000000'	192513.568	-108481.87791324739	131667	84520	84	14612	0	20	230903
b'20040501000000'	203125.296	-132578.3489207452	144267	88553	116	15992	0	29	248957
b'20040601000000'	215225.218	-150825.03685596993	156208	92447	134	17462	0	29	266280
b'20040701000000'	227880.622	-176570.6729898043	164835	100193	139	18878	0	34	284079
b'20040801000000'	242760.596	-200051.37195580115	176204	107327	153	20613	0	49	304346
b'20040901000000'	261070.58	-221399.3455535873	186706	115092	167	22602	0	64	324631
b'20041001000000'	276701.819	-243429.63763180727	197342	122892	169	24709	0	92	345204
b'20041101000000'	294050.721	-269479.66498531133	209337	131351	176	26984	0	119	367967
b'20041201000000'	318159.065	-290207.34118173266	223081	141001	189	29524	0	157	393952
b'20050101000000'	331356.482	-323993.0507452083	238739	149266	224	31881	0	192	420302
b'20050201000000'	348371.076	-348749.84209760756	251127	156644	251	34141	0	245	442408
b'20050301000000'	363931.456	-370601.0394213382	262279	163216	254	36302	0	306	462357
b'20050401000000'	383480.285	-398968.6938613331	277345	171254	299	39042	0	387	488327
b'20050501000000'	406126.322	-430245.21852722316	295458	180122	326	42060	0	492	518458
b'20050601000000'	430360.785	-460058.03968917526	313103	189627	391	45332	0	599	549052
b'20050701000000'	456301.065	-492985.6186203964	332932	199685	447	48845	1	726	582636
b'20050801000000'	488513.079	-533990.0736271159	358477	211935	496	52937	1	908	624754
b'20050901000000'	522029.478	-575295.1651695658	384385	224590	629	57360	0	1041	668005
b'20051001000000'	549595.805	-614971.202858291	406724	235136	739	61049	2	1182	704832
b'20051101000000'	581752.297	-659820.9979391167	433454	247069	837	65396	2	1314	748072
b'20051201000000'	614001.856	-699314.1460882394	456786	258806	960	70102	3	1542	788199
b'20060101000000'	649300.311	-743916.2557539494	480983	273039	1198	75191	3	1742	832156
b'20060201000000'	687544.367	-798220.0734810057	509023	288701	1413	80522	8	1930	881597
b'20060301000000'	723842.93	-841986.0694256148	532698	302160	1788	86282	39	2066	925033
b'20060401000000'	765102.811	-888650.1872615598	559629	317689	2495	92483	89	2170	974555
b'20060501000000'	805280.162	-928931.5099736108	584001	333366	3288	98353	120	2173	1021301
b'20060601000000'	848494.084	-969094.535138177	609177	350249	4372	104631	179	2160	1070768
b'20060701000000'	891764.702	-1015777.6668109078	636665	367062	5714	110307	231	2261	1122240
b'20060801000000'	938388.206	-1080302.7711803734	670983	384446	7194	116578	305	2430	1181936
b'20060901000000'	986213.212	-1145133.9575123456	706729	402238	9004	122605	409	2549	1243534
b'20061001000000'	1027341.475	-1194499.8367810808	734326	418012	10860	127581	545	2656	1293980
b'20061101000000'	1066813.445	-1239644.8931633118	759921	433764	12941	132131	686	2681	1342124
b'20061201000000'	1109774.253	-1278727.2851188222	783727	451090	15060	136914	847	2796	1390434
b'20070101000000'	1153980.883	-1313311.859528028	805443	468790	17719	141446	1074	2930	1437402
b'20070201000000'	1202125.102	-1342627.2831090428	828016	487638	21009	145584	1380	3086	1486713
b'20070301000000'	1244135.979	-1384057.7151629762	850196	505431	24631	148946	1608	3208	1534020
b'20070401000000'	1288516.811	-1424909.242221751	874441	522882	28682	152074	1924	3379	1583382
b'20070501000000'	1332030.007	-1462686.981038161	897037	539746	32817	155047	2303	3623	1630573
b'20070601000000'	1376819.29	-1499412.4125859619	920489	556377	36496	158561	2766	3847	1678536
b'20070701000000'	1420421.596	-1539578.5272305775	944829	573332	40527	161532	3106	4105	1727431
b'20070801000000'	1463477.924	-1634622.0341365016	986535	590533	45356	163114	3543	4263	1793344
b'20070901000000'	1503791.8	-1725182.3414090034	1024377	605864	50443	164349	4046	4421	1853500
b'20071001000000'	1542525.068	-1773533.5314485042	1050302	620816	55995	164596	4548	4637	1900894
b'20071101000000'	1582836.517	-1807947.0193674343	1071535	636104	61131	165572	5092	4930	1944364
b'20071201000000'	1619235.559	-1837734.4515807987	1092649	650885	66357	165417	5660	5089	1986057
b'20080101000000'	1655623.003	-1886430.8813536663	1119729	664307	71976	165507	6339	5283	2033141
b'20080201000000'	1697021.437	-1940842.324560865	1149402	679522	78090	165875	7074	5478	2085441
b'20080301000000'	1737244.818	-2025507.9132829176	1185502	692601	84594	166595	7819	5735	2142846
b'20080401000000'	1782399.965	-2057066.7872371583	1207218	707082	92789	166978	8676	6000	2188743
b'20080501000000'	1826700.434	-2077890.4613035992	1226152	720930	100526	167525	9392	6236	2230761
b'20080601000000'	1867664.635	-2100171.8398277457	1245463	735012	106985	168292	10036	6470	2272258
b'20080701000000'	1906324.047	-2127759.1200731657	1264698	748565	113494	168308	10781	6717	2312563
b'20080801000000'	1947094.325	-2186916.476619153	1294038	762239	121177	167575	11612	7003	2363644
b'20080901000000'	1994319.427	-2238465.738987012	1323644	780601	128152	168040	12452	7319	2420208
b'20081001000000'	2028580.041	-2255490.131520939	1337745	793303	135461	167041	13180	7479	2454209
b'20081101000000'	2067197.965	-2283797.5372583256	1359064	807626	143040	165746	13915	7706	2497097
b'20081201000000'	2102325.987	-2304766.374347559	1373905	820048	149844	165220	14666	7912	2531595
b'20090101000000'	2142205.001	-2329285.5079036485	1391002	830510	159155	165178	15579	8222	2569646
b'20090201000000'	2187228.85	-2351237.7726918384	1408876	847586	166454	165420	16518	8571	2613425
b'20090301000000'	2228980.457	-2376295.28460682	1425074	864754	173675	165285	17338	8862	2654988
b'20090401000000'	2276152.777	-2419753.0981619214	1448025	884359	180834	165526	18335	9130	2706209
b'20090501000000'	2317389.32	-2453292.683646583	1466841	898253	187657	166130	19189	9394	2747464
b'20090601000000'	2359458.193	-2475005.735657094	1480622	912103	195317	166766	20153	9684	2784645
b'20090701000000'	2399976.193	-2485464.198378501	1491575	927775	202236	166666	21107	9990	2819349
b'20090801000000'	2445299.196	-2519422.7312553898	1510185	945032	209460	167030	22185	10243	2864135
