month	weighted_sum	weighted_log_sum	stub_n	start_n	c_n	b_n	ga_n	fa_n	n
b'20010601000000'	0.483	-0.727738604103894	1	0	0	0	0	0	1
b'20010701000000'	0.917	-1.5624493824960721	2	0	0	0	0	0	2
b'20010801000000'	0.917	-1.5624493824960721	2	0	0	0	0	0	2
b'20010901000000'	3.451	-1.0877607675956722	2	2	0	0	0	0	4
b'20011001000000'	6.291	-4.1356374103506965	7	2	0	0	0	0	9
b'20011101000000'	8.569	-8.214211280706932	12	2	0	0	0	0	14
b'20011201000000'	10.525	-7.416170937341127	12	3	0	0	0	0	15
b'20020101000000'	11.672	-7.274935303363264	12	4	0	0	0	0	16
b'20020201000000'	13.305	-9.459543773822377	14	5	0	0	0	0	19
b'20020301000000'	17.889	-12.116694205467786	19	6	0	0	0	0	25
b'20020401000000'	19.443	-14.521105421241712	21	7	0	0	0	0	28
b'20020501000000'	20.01	-13.521409620267502	20	8	0	0	0	0	28
b'20020601000000'	20.503	-14.27642121292217	21	8	0	0	0	0	29
b'20020701000000'	23.685	-14.069578185245847	21	11	0	0	0	0	32
b'20020801000000'	27.65	-14.927538012921262	23	13	0	0	0	0	36
b'20020901000000'	30.624	-16.806187849748017	27	13	0	0	0	0	40
b'20021001000000'	35.297	-20.363262850587347	34	12	0	1	0	0	47
b'20021101000000'	40.153	-23.70847112884168	41	11	0	2	0	0	54
b'20021201000000'	48.156	-26.470295695062607	48	13	0	2	0	0	63
b'20030101000000'	52.651	-24.37428064239859	48	16	0	2	0	0	66
b'20030201000000'	58.941	-24.984358660295115	50	20	0	2	0	0	72
b'20030301000000'	66.086	-23.698041887175318	52	22	0	3	0	0	77
b'20030401000000'	70.06	-23.30269675608349	52	25	0	3	0	0	80
b'20030501000000'	76.548	-24.19274909331574	55	27	0	4	0	0	86
b'20030601000000'	78.315	-26.74748284490241	56	29	0	4	0	0	89
b'20030701000000'	83.74	-33.994981733823714	63	32	0	4	0	0	99
b'20030801000000'	87.571	-32.40448983736505	63	34	0	4	0	0	101
b'20030901000000'	94.922	-33.3877300732963	65	38	0	5	0	0	108
b'20031001000000'	100.987	-35.938037527611996	70	39	0	6	0	0	115
b'20031101000000'	108.086	-36.29510531722586	72	42	0	7	0	0	121
b'20031201000000'	110.654	-37.4982069450606	74	43	0	7	0	0	124
b'20040101000000'	114.952	-44.074619456608744	75	45	0	9	0	0	129
b'20040201000000'	118.572	-61.629704502465145	84	46	0	9	0	0	139
b'20040301000000'	125.913	-74.32680927658754	92	51	0	8	0	0	151
b'20040401000000'	135.294	-84.92042745320053	102	52	0	9	0	0	163
b'20040501000000'	155.464	-121.7611097801962	123	61	0	11	0	0	195
b'20040601000000'	167.885	-141.5421322135434	137	66	0	12	0	0	215
b'20040701000000'	195.944	-173.24119206411766	149	85	0	14	0	0	248
b'20040801000000'	206.242	-191.09536747137335	157	90	0	14	0	0	261
b'20040901000000'	219.384	-201.89926584141799	164	96	0	16	0	0	276
b'20041001000000'	230.897	-221.9998790082151	169	104	0	18	0	0	291
b'20041101000000'	240.959	-246.74671886659593	175	116	0	17	0	0	308
b'20041201000000'	256.639	-252.84552768069884	177	125	0	19	0	1	322
b'20050101000000'	277.401	-261.84720535672227	187	131	0	22	0	1	341
b'20050201000000'	292.389	-277.93102185764013	200	138	0	25	0	1	364
