month	possible_n	stub_n	start_n	c_n	b_n	ga_n	fa_n	mean_weighted_sum	geo_mean_weighted_sum
20050601000000	5517	230	177	0	33	0	1	0.06632195695888123	0.9418978921364524
20140701000000	5517	749	1811	896	83	116	18	0.9349577559727101	1.0348870306450575
20050401000000	5517	210	163	0	29	0	1	0.06073346775142938	0.94725813340751
20131101000000	5517	716	1608	720	74	91	16	0.7875568972433251	0.9940409029779702
20071001000000	5517	607	591	45	119	6	2	0.23247578427205765	0.8681445986991511
20150201000000	5517	839	2048	1024	88	143	19	1.070803236686096	1.0506630376886055
20021201000000	5517	48	13	0	2	0	0	0.008728361935078071	0.995213361242342
20030101000000	5517	48	16	0	2	0	0	0.009543214929173434	0.9955913705757112
20030401000000	5517	52	25	0	3	0	0	0.012698631808369724	0.9957845101904192
20140801000000	5517	754	1830	901	82	120	17	0.9437385229419436	1.0356228858808072
20070801000000	5517	579	573	33	125	4	1	0.22173149259850575	0.8684251543671596
20020501000000	5517	20	8	0	0	0	0	0.0036274353470748416	0.9975529272797223
20150801000000	5517	841	2197	1186	88	171	18	1.193389865020058	1.0990950657377503
20051101000000	5517	310	211	0	52	0	2	0.08620155139209108	0.9200238878199059
20050201000000	5517	197	138	0	25	0	1	0.0528354745065375	0.9517337296866581
20031101000000	5517	72	42	0	7	0	0	0.019591425187286408	0.9934429401475655
20090801000000	5517	671	925	182	98	14	7	0.36366403636965894	0.8787160399057325
20160401000000	5517	924	2552	1440	97	221	17	1.4192164373088254	1.1488911438814067
20030501000000	5517	55	27	0	4	0	0	0.013875159609339029	0.9956248351210738
20120901000000	5517	705	1369	492	78	50	12	0.6096458816828145	0.9381023003102962
20100101000000	5517	669	983	213	98	21	8	0.39215172395617515	0.8894149833392782
20031001000000	5517	70	39	0	6	0	0	0.018304967052202695	0.9935078668818978
20111201000000	5517	695	1254	400	75	43	12	0.5404168595330828	0.9307617947443294
20020401000000	5517	21	7	0	0	0	0	0.0035243802404291338	0.9973714973802639
20121001000000	5517	707	1389	490	77	55	13	0.6163896286913593	0.9390463968523906
20130201000000	5517	677	1481	564	76	64	19	0.6755983148476625	0.9662044822054127
20010701000000	5517	2	0	0	0	0	0	0.0001661531829011486	0.9997166958480754
20130501000000	5517	695	1516	614	73	68	17	0.7063872850330957	0.9716719078021983
20090501000000	5517	669	886	154	102	13	5	0.3420239780448066	0.8709530002120021
20090201000000	5517	666	838	137	103	14	7	0.3252675623594204	0.8653703854891974
20110701000000	5517	684	1208	359	78	35	10	0.5101128270747471	0.9288980504463011
20111001000000	5517	685	1241	378	80	42	10	0.5285021849636579	0.9303934399520156
20071201000000	5517	610	630	58	115	6	3	0.24291880861948925	0.8657893035650305
20140601000000	5517	741	1795	885	83	113	18	0.9226237911874804	1.0317997847670364
20110801000000	5517	687	1212	375	72	35	11	0.5155168107329618	0.9300282013502698
20101001000000	5517	690	1103	267	94	25	10	0.4477106890885113	0.9049755418560056
20060801000000	5517	442	318	5	96	1	0	0.13787530627925906	0.8928188935756357
20110901000000	5517	688	1224	376	75	37	11	0.5203892825921254	0.9296916557246127
20150601000000	5517	833	2160	1149	92	173	18	1.1713845152486635	1.0917235932664366
20140301000000	5517	728	1690	803	77	95	21	0.8518646215602956	1.0125848184992647
20100301000000	5517	673	1017	219	101	18	10	0.40591085736584565	0.8939337519946048
20110401000000	5517	674	1185	336	78	28	13	0.490283181703786	0.9221830655641768
20030801000000	5517	63	34	0	4	0	0	0.01587301262453383	0.9941439334022725
20100601000000	5517	687	1061	245	100	21	10	0.4270627371787451	0.8977265280221972
20120301000000	5517	713	1294	428	70	47	11	0.5613780069840891	0.9254949393992082
20120601000000	5517	709	1334	465	81	49	11	0.5890159372787033	0.9315979245502284
20040301000000	5517	90	51	0	8	0	0	0.02277539427450868	0.9873435927478488
20130401000000	5517	699	1502	598	79	63	15	0.6947174264556913	0.9669529576874181
20010901000000	5517	2	2	0	0	0	0	0.0006255673128334177	0.9998028773285985
20091101000000	5517	669	964	203	103	16	7	0.3826757837987125	0.8850415185334545
20100901000000	5517	687	1092	261	94	25	10	0.4416026682445885	0.9035289014971585
20020601000000	5517	21	8	0	0	0	0	0.0037169888196839497	0.9974169133872887
20130801000000	5517	686	1547	661	70	79	16	0.7381379403220341	0.986195316654637
20120201000000	5517	699	1275	419	74	47	11	0.553716305021135	0.9308175810406618
20011201000000	5517	12	3	0	0	0	0	0.0019079350916619677	0.9986570443553299
20150501000000	5517	845	2137	1135	89	164	18	1.153381633699593	1.0824305123099331
20141201000000	5517	795	1989	1002	94	133	16	1.039594484660718	1.0549436414295263
20070701000000	5517	576	556	27	127	4	0	0.2164459499599207	0.8688046264690997
20110101000000	5517	667	1153	309	78	28	11	0.4706503435711243	0.9186974030735948
