month	possible_n	stub_n	start_n	c_n	b_n	ga_n	fa_n	mean_weighted_sum	geo_mean_weighted_sum
20150101000000	5206553	2218765	1546679	657522	168087	113715	28797	0.9102540653410857	0.515330776619508
20140201000000	5206553	2117526	1462730	585046	166175	96728	25798	0.8390450315570457	0.5245081453564873
20031201000000	5206553	93449	69620	43	9919	0	0	0.029071656482689417	0.9904792520715288
20110101000000	5206553	1727533	1152453	331701	164776	42839	15566	0.5957858698538001	0.5829443963644697
20160701000000	5206553	2375072	1693597	765179	172766	142585	33523	1.025540369007531	0.5030577078913684
20041201000000	5206553	223081	141001	189	29524	0	157	0.06110762048116812	0.94578647704096
20140601000000	5206553	2153987	1493384	610447	166982	102952	26931	0.8644869395731487	0.5207097215528093
20150301000000	5206553	2237699	1563400	670080	168448	116986	29323	0.9232618418074056	0.5133296005905542
20100601000000	5206553	1649564	1068774	277807	167995	33065	13312	0.5434542187791337	0.5946670349009477
20150801000000	5206553	2276763	1605187	704509	168448	125641	30890	0.9573392873080351	0.5113161351145502
20120401000000	5206553	1860271	1304117	435534	171178	63542	19967	0.703761903808005	0.5736902127510908
20111201000000	5206553	1824944	1266772	408193	169883	57864	18812	0.6760201545136426	0.5770528715677676
20060101000000	5206553	480983	273039	1198	75191	3	1742	0.12470879169183201	0.8668592413981794
20090601000000	5206553	1480622	912103	195317	166766	20153	9684	0.4531710834626386	0.6216556245392142
20120201000000	5206553	1842997	1285489	421540	170697	60829	19431	0.6899446142055847	0.5751746054724275
20041101000000	5206553	209337	131351	176	26984	0	119	0.05647720316483013	0.9495592117454634
20070501000000	5206553	897037	539746	32817	155047	2303	3623	0.25583792122762034	0.755083862131925
20070901000000	5206553	1024377	605864	50443	164349	4046	4421	0.2888274569861713	0.7179576457425113
20130901000000	5206553	2067113	1420432	553039	166087	88754	24512	0.8070251860787219	0.532197496397062
20090401000000	5206553	1448025	884359	180834	165526	18335	9130	0.4371709281938741	0.62828568921234
20140901000000	5206553	2184245	1512767	632415	166934	108262	27618	0.8844214059001001	0.5178376347447994
20061001000000	5206553	734326	418012	10860	127581	545	2656	0.1973176116672878	0.7949951222193423
20010601000000	5206553	2124	148	0	35	0	0	0.00026472733915917863	0.9997273525237929
20081201000000	5206553	1373905	820048	149844	165220	14666	7912	0.4037852800687144	0.6423239041619732
20080801000000	5206553	1294038	762239	121177	167575	11612	7003	0.3739705351219226	0.6570284711852713
20111101000000	5206553	1814618	1258716	401449	169492	56487	18537	0.6694161580439659	0.5780133137786027
20010201000000	5206553	22	0	0	3	0	0	3.607332586248224e-06	0.999997939447041
20030501000000	5206553	62098	52542	10	4942	0	1	0.01914198741297493	0.9928438939189933
20140801000000	5206553	2175915	1504029	625713	167102	106743	27358	0.8779043792784452	0.5185220701190112
20060401000000	5206553	559629	317689	2495	92483	89	2170	0.1469505156977803	0.8430935950103059
20010801000000	5206553	3197	268	0	58	0	0	0.00041528606109331054	0.9995952464211861
20100901000000	5206553	1686091	1103831	297761	168575	37045	14293	0.5654696180267685	0.5882506768873079
20150601000000	5206553	2260042	1587830	690861	168729	122075	30241	0.9436164656218762	0.5122720183717231
20040401000000	5206553	131667	84520	84	14612	0	20	0.03697539681130454	0.9793800615490027
20110501000000	5206553	1760880	1195761	360213	166604	48300	16718	0.6258095990641485	0.5823901002494256
20090501000000	5206553	1466841	898253	187657	166130	19189	9394	0.4450910683309621	0.6242518899491922
20080701000000	5206553	1264698	748565	113494	168308	10781	6717	0.3661398355035591	0.6645344622065984
20050201000000	5206553	251127	156644	251	34141	0	245	0.06691045817869826	0.9352121855094402
20160201000000	5206553	2322820	1656222	742042	169482	135544	32382	0.9967682020288094	0.5089840293111755
20110701000000	5206553	1774159	1216544	374019	167811	51026	17250	0.6403076023124634	0.582465690962808
20011001000000	5206553	6680	811	0	194	0	0	0.0009729488688083971	0.9991947710465658
20060201000000	5206553	509023	288701	1413	80522	8	1930	0.13205415525016012	0.857864526093386
20071101000000	5206553	1071535	636104	61131	165572	5092	4930	0.3040091692672725	0.7066344584970886
20090101000000	5206553	1391002	830510	159155	165178	15579	8222	0.4114445751796049	0.6393059330848189
20010401000000	5206553	512	36	0	18	0	0	6.411522965709516e-05	0.9999305085823655
20020201000000	5206553	14703	2565	2	657	0	0	0.002561834307614969	0.9984699797377795
20030801000000	5206553	73901	60114	37	6635	0	1	0.023182247004504167	0.9921065801015235
20130601000000	5206553	2037833	1395413	533760	165429	84175	23673	0.7876477581062944	0.5362661209137561
20100201000000	5206553	1595991	1022118	251429	165883	28362	12057	0.5136860234654872	0.6024838774305639
20150401000000	5206553	2245587	1571993	677167	168805	118743	29738	0.9304682791279222	0.5129220200389653
20020801000000	5206553	29659	5592	1	1658	0	0	0.005432605363512538	0.9969823571908144
20080301000000	5206553	1185502	692601	84594	166595	7819	5735	0.333665788019538	0.6777198223066856
20040701000000	5206553	164835	100193	139	18878	0	34	0.043768199348237835	0.9666554341739841
